country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
CHN,Tibet (Xizang),State Grid Tibet Electric Power,http://www.xz.sgcc.com.cn/,tibet,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,1.0,leave-existing-T1+,not-applicable,not-applicable,-0.4400,Hydro spill + isolated grid; NEA 2024 figures provincial; no hourly public feed
HND / Honduras,,ENEE (Empresa Nacional de Energia Electrica) / ODS,https://ods.org.hn/,honduras,T3,curtailment-renewable,documented-gap,PDF-only,unprobed,IRENA / project static (1.0 TWh proxy for solar curtailment),1.0,leave-T3,T3,not-applicable,-0.4400,Existing project T3 region. ODS (Operador del Sistema) publishes monthly statistical reports as PDF. Solar curtailment cited 2019-2021.
DEU / Germany,,Amprion / TenneT-DE / 50Hertz / TransnetBW (consolidated via ENTSO-E),https://transparency.entsoe.eu/,germany,T1a,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,BNetzA 2024 electricity market data (3.4 TWh onshore wind + 4.6 TWh offshore wind + PV curtailment),8.0,leave-existing-T1+,not-applicable,not-applicable,-0.6400,Loader uses ENTSO-E A75 multiplied by BNetzA-cited rates; per-TSO SMARD/BNetzA splits available but not split in loader.
KOR,Mainland,Korea Electric Power Corporation (KEPCO),https://home.kepco.co.kr/,south-korea,T2,curtailment-renewable,published,PDF-only,homepage-404-on-eng-corporate,KPX Renewable Curtailment Report 2024,1.5,leave-existing-T1+,not-applicable,not-applicable,-0.6600,KEPCO is asset owner; system operation by KPX. Currently modelled as static. KPX EPSIS has curtailment via SPA only
Vietnam,,National Power System and Market Operation (NSMO),https://www.nsmo.vn/,vietnam,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,nsmo.vn timed out on probe; site exists but no public dispatch/curtailment API,IEEFA Vietnam Energy Transition 2024 (solar curtailment ~3 TWh),3.0,leave-existing-T1+,not-applicable,not-applicable,-0.7800,NSMO spun out of EVN Aug 2024 as independent SO. Investors petitioning for transparent dispatch. Existing T2 'vietnam' covers solar curtailment.
Vietnam,,Vietnam Electricity (EVN),https://www.evn.com.vn/,vietnam,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage lists hydro reservoir levels and grid op summary; no machine-readable feed,EVN Annual Report 2024,3.0,leave-existing-T1+,not-applicable,not-applicable,-0.7800,EVN parent (NPC/CPC/SPC distribution arms). Dispatch transferred to NSMO 2024. Severe curtailment Ninh Thuan/Binh Thuan. Cross-ref existing 'vietnam'.
CHN,Qinghai,State Grid Qinghai Electric Power,http://www.qh.sgcc.com.cn/,qinghai,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,2.0,leave-existing-T1+,not-applicable,not-applicable,-0.8800,High solar penetration; NEA 2024 solar ~5%; no public hourly feed; aggregated under SGCC NW Branch
CHN,Ningxia,State Grid Ningxia Electric Power,http://www.nx.sgcc.com.cn/,ningxia,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,2.5,leave-existing-T1+,not-applicable,not-applicable,-1.1000,Already modelled; SGCC NW Branch; high solar curtailment; portal walled
CHN,Gansu,State Grid Gansu Electric Power,http://www.gs.sgcc.com.cn/,gansu,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,3.5,leave-existing-T1+,not-applicable,not-applicable,-1.5400,Historic high-curtailment province; NEA 2024 wind ~5% solar ~5%; SPA portal not machine-readable
Saudi Arabia,Eastern,East Saudi flaring (Aramco oilfields - Ghawar/Khurais),https://www.worldbank.org/en/programs/gasflaringreduction,e-saudi,T2-flare,flare-associated-gas,published,no-public-data,GGFR/VIIRS; Aramco does not publish per-field flare volumes,GGFR Global Gas Flaring Tracker Report 2024 (Saudi Arabia),3.4,leave-existing-T1+,not-applicable,not-applicable,-1.7000,Existing T2-flare 'e-saudi'. Saudi flared ~3.4 BCM 2023 per GGFR; Aramco aims zero-routine 2030.
CHN,Yunnan,Yunnan Power Grid (China Southern Grid),http://www.yn.csg.cn/,yunnan,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,4.0,leave-existing-T1+,not-applicable,not-applicable,-1.7600,CSG jurisdiction (not SGCC); hydro spill; SPA portal; aggregated in CSG transparency PDFs only
CHN,Inner Mongolia,State Grid Inner Mongolia East / IMPS,http://www.im.sgcc.com.cn/,inner-mongolia,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 wind+solar curtailment provincial bulletin,8.0,leave-existing-T1+,not-applicable,not-applicable,-3.5200,"Largest CN wind province; NEA 2024 reports wind ~7%, solar ~5% curtailment; SGCC portal SPA/walled"
CHN,Xinjiang,State Grid Xinjiang Electric Power,http://www.xj.sgcc.com.cn/,xinjiang,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,9.0,leave-existing-T1+,not-applicable,not-applicable,-3.9600,Largest CN solar+wind curtailment; NEA 2024 wind ~7% solar ~5%; SGCC subsidiary; no public hourly feed
CHN,Sichuan,State Grid Sichuan Electric Power,http://www.sc.sgcc.com.cn/,sichuan,T2,curtailment-renewable,published,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial hydro-spill bulletin,12.0,leave-existing-T1+,not-applicable,not-applicable,-5.2800,Hydro spill dominated; NEA 2024 anchor; no machine-readable hourly portal
Iraq,South,South Iraq flaring (BOC/MOC oilfields - Basra),https://www.worldbank.org/en/programs/gasflaringreduction,s-iraq,T2-flare,flare-associated-gas,published,no-public-data,GGFR/VIIRS satellite; operator does not publish flare-volume series,GGFR Global Gas Flaring Tracker Report 2024 (Iraq),17.9,leave-existing-T1+,not-applicable,not-applicable,-8.9500,Existing T2-flare region 's-iraq'. Iraq #2 global flarer ~17.9 BCM/yr per GGFR 2024 (proxy as TWh thermal-equiv).
RUS,West Siberia (Khanty-Mansi),Gazprom/Rosneft/Surgutneftegaz flaring; system SO UPS Tyumen,https://www.so-ups.ru/,w-siberia,T2-flare,flare-associated-gas,published,no-public-data,not-probed,GGFR 2024 West Siberia flaring ~15 Bcm ≈ 44 TWh equivalent,44.0,leave-existing-T1+,not-applicable,not-applicable,-22.0000,Existing T2-flare region (w-siberia). GGFR satellite-only; no operator-direct annual archive.
